Column1,Column2
Zanieczyszczenie,Katowice ul. Kossutha 6 - pył zawieszony PM2.5
2015-08-08," 	22.1	"
2015-08-09," 	26.5	"
2015-08-10," 	32.4	"
2015-08-11," 	29.4	"
2015-08-12," 	39.2	"
2015-08-13," 	19.6	"
2015-08-14," 	31.7	"
2015-08-15," 	21.7	"
2015-08-16," 	24.2	"
2015-08-17," 	28.8	"
2015-08-18," 	26.2	"
2015-08-19," 	24.6	"
2015-08-20," 	18.3	"
2015-08-21," 	11.9	"
2015-08-22," 	22.7	"
2015-08-23," 	13.9	"
2015-08-24," 	12.4	"
2015-08-25," 	11.7	"
2015-08-26," 	15.0	"
2015-08-27," 	8.4	"
2015-08-28," 	18.8	"
2015-08-29," 	15.6	"
2015-08-30," 	18.9	"
2015-08-31," 	17.5	"
2015-09-01," 	17.5	"
2015-09-02," 	9.2	"
2015-09-03," 	10.7	"
2015-09-04," 	10.7	"
2015-09-05," 	15.8	"
2015-09-06," 	8.9	"
2015-09-07," 	9.5	"
2015-09-08,
2015-09-09,
2015-09-10," 	16.3	"
2015-09-11," 	14.5	"
2015-09-12," 	21.9	"
2015-09-13," 	9.5	"
2015-09-14," 	15.4	"
2015-09-15," 	17.9	"
2015-09-16," 	17.4	"
2015-09-17," 	18.5	"
2015-09-18," 	8.4	"
2015-09-19," 	20.5	"
2015-09-20," 	16.2	"
2015-09-21," 	10.1	"
2015-09-22," 	23.0	"
2015-09-23," 	18.8	"
2015-09-24," 	17.2	"
2015-09-25," 	17.6	"
2015-09-26," 	14.4	"
2015-09-27," 	16.5	"
2015-09-28," 	12.3	"
2015-09-29," 	14.1	"
2015-09-30," 	22.1	"
2015-10-01," 	15.6	"
2015-10-02," 	38.2	"
2015-10-03," 	40.9	"
2015-10-04," 	13.2	"
2015-10-05," 	29.5	"
2015-10-06," 	45.2	"
2015-10-07," 	19.9	"
2015-10-08," 	29.3	"
2015-10-09,
2015-10-10," 	17.1	"
2015-10-11," 	24.1	"
2015-10-12," 	23.6	"
2015-10-13," 	50.5	"
2015-10-14," 	32.6	"
2015-10-15," 	33.2	"
2015-10-16," 	35.2	"
2015-10-17," 	29.4	"
2015-10-18," 	36.2	"
2015-10-19," 	54.7	"
2015-10-20,
2015-10-21,
2015-10-22,
2015-10-23," 	19.2	"
2015-10-24," 	17.8	"
2015-10-25," 	39.1	"
2015-10-26," 	38.9	"
2015-10-27," 	41.6	"
2015-10-28," 	46.3	"
2015-10-29," 	49.7	"
2015-10-30," 	78.9	"
2015-10-31," 	72.4	"
2015-11-01," 	39.5	"
2015-11-02," 	33.8	"
2015-11-03," 	38.8	"
2015-11-04," 	125.4	"
2015-11-05," 	190.5	"
2015-11-06," 	143.8	"
2015-11-07," 	23.5	"
2015-11-08," 	17.5	"
2015-11-09," 	39.9	"
2015-11-10," 	15.0	"
2015-11-11," 	18.6	"
2015-11-12," 	23.8	"
2015-11-13," 	38.4	"
2015-11-14," 	15.0	"
2015-11-15," 	10.1	"
2015-11-16," 	33.8	"
2015-11-17,
2015-11-18,
2015-11-19,
2015-11-20," 	13.5	"
2015-11-21," 	24.5	"
2015-11-22," 	53.2	"
2015-11-23," 	23.3	"
