Column1,Column2
Zanieczyszczenie,Gorz�w Wlkp. ul. Pi�sudskiego - py� zawieszony PM2.5
2015-08-01," 	10.7	"
2015-08-02," 	17.2	"
2015-08-03," 	20.1	"
2015-08-04," 	24.2	"
2015-08-05," 	11.1	"
2015-08-06," 	17.0	"
2015-08-07," 	21.2	"
2015-08-08," 	27.2	"
2015-08-09," 	8.7	"
2015-08-10," 	10.8	"
2015-08-11," 	16.6	"
2015-08-12," 	12.3	"
2015-08-13," 	8.8	"
2015-08-14," 	14.8	"
2015-08-15," 	17.7	"
2015-08-16," 	17.7	"
2015-08-17," 	19.3	"
2015-08-18," 	15.9	"
2015-08-19," 	15.0	"
2015-08-20," 	21.2	"
2015-08-21," 	22.3	"
2015-08-22," 	18.8	"
2015-08-23," 	15.2	"
2015-08-24," 	21.9	"
2015-08-25," 	8.5	"
2015-08-26," 	6.9	"
2015-08-27," 	14.6	"
2015-08-28," 	6.0	"
2015-08-29," 	9.4	"
2015-08-30," 	12.7	"
2015-08-31," 	17.5	"
2015-09-01," 	16.0	"
2015-09-02," 	6.0	"
2015-09-03," 	9.1	"
2015-09-04," 	9.5	"
2015-09-05," 	6.4	"
2015-09-06," 	3.1	"
2015-09-07," 	5.6	"
2015-09-08," 	5.1	"
2015-09-09," 	4.5	"
2015-09-10," 	7.8	"
2015-09-11," 	11.6	"
2015-09-12," 	16.5	"
2015-09-13," 	18.7	"
2015-09-14," 	19.5	"
2015-09-15," 	7.4	"
2015-09-16," 	13.7	"
2015-09-17," 	12.7	"
2015-09-18," 	8.5	"
2015-09-19," 	10.5	"
2015-09-20," 	6.2	"
2015-09-21," 	6.9	"
2015-09-22," 	11.2	"
2015-09-23," 	6.6	"
2015-09-24," 	8.9	"
2015-09-25," 	12.7	"
2015-09-26," 	7.1	"
2015-09-27," 	5.4	"
2015-09-28," 	5.5	"
2015-09-29," 	5.1	"
2015-09-30," 	11.7	"
2015-10-01," 	24.0	"
2015-10-02," 	23.1	"
2015-10-03," 	28.1	"
2015-10-04," 	26.0	"
2015-10-05," 	37.7	"
2015-10-06," 	34.5	"
2015-10-07," 	20.4	"
2015-10-08," 	18.4	"
2015-10-09," 	20.3	"
2015-10-10," 	17.9	"
2015-10-11," 	14.8	"
2015-10-12," 	18.6	"
2015-10-13," 	23.7	"
2015-10-14," 	37.1	"
2015-10-15," 	41.3	"
2015-10-16," 	29.9	"
2015-10-17," 	21.2	"
2015-10-18," 	23.9	"
2015-10-19," 	12.3	"
2015-10-20," 	23.5	"
2015-10-21," 	11.7	"
2015-10-22," 	17.5	"
2015-10-23," 	7.3	"
2015-10-24," 	19.0	"
2015-10-25," 	22.3	"
2015-10-26," 	18.6	"
2015-10-27," 	29.9	"
2015-10-28," 	36.2	"
2015-10-29," 	35.6	"
2015-10-30," 	57.4	"
2015-10-31," 	70.5	"
2015-11-01," 	48.3	"
2015-11-02," 	44.7	"
2015-11-03," 	62.7	"
2015-11-04," 	54.0	"
2015-11-05," 	46.5	"
2015-11-06," 	58.1	"
2015-11-07," 	20.8	"
2015-11-08," 	11.5	"
2015-11-09," 	11.2	"
2015-11-10," 	5.6	"
2015-11-11," 	8.3	"
2015-11-12," 	12.7	"
2015-11-13," 	13.7	"
2015-11-14," 	6.3	"
2015-11-15," 	6.5	"
2015-11-16," 	8.3	"
2015-11-17," 	8.1	"
2015-11-18," 	5.7	"
2015-11-19," 	7.8	"
2015-11-20," 	8.2	"
2015-11-21," 	13.2	"
2015-11-22," 	16.0	"
2015-11-23," 	26.2	"
2015-11-24," 	16.7	"
2015-11-25," 	23.5	"
2015-11-26," 	31.0	"
2015-11-27," 	19.7	"
2015-11-28," 	17.0	"
2015-11-29," 	6.1	"
2015-11-30," 	5.6	"
2015-12-01," 	6.9	"
2015-12-02," 	11.0	"
2015-12-03," 	16.9	"
2015-12-04," 	16.8	"
2015-12-05," 	11.1	"
2015-12-06," 	8.8	"
2015-12-07," 	15.8	"
2015-12-08," 	27.0	"
2015-12-09," 	16.4	"
2015-12-10," 	15.1	"
2015-12-11," 	15.5	"
2015-12-12," 	8.4	"
2015-12-13," 	5.0	"
2015-12-14," 	9.9	"
2015-12-15," 	32.8	"
2015-12-16," 	37.4	"
2015-12-17," 	16.8	"
2015-12-18," 	12.1	"
2015-12-19," 	16.9	"
2015-12-20," 	14.8	"
2015-12-21," 	12.2	"
2015-12-22," 	6.1	"
2015-12-23," 	7.5	"
2015-12-24," 	15.3	"
2015-12-25," 	7.9	"
2015-12-26," 	5.7	"
2015-12-27," 	8.9	"
2015-12-28," 	5.6	"
2015-12-29," 	11.6	"
2015-12-30," 	18.1	"
2015-12-31,
2016-01-01," 	25.3	"
2016-01-02,
2016-01-03,
2016-01-04,
2016-01-05,
2016-01-06,
2016-01-07,
2016-01-08,
2016-01-09," 	22.7	"
2016-01-10,
2016-01-11," 	31.5	"
2016-01-12," 	39.6	"
2016-01-13,
2016-01-14," 	22.4	"
2016-01-15," 	36.5	"
2016-01-16," 	29.4	"
2016-01-17," 	33.8	"
2016-01-18,
2016-01-19,
2016-01-20,
2016-01-21," 	14.3	"
2016-01-22,
2016-01-23,
2016-01-24," 	23.4	"
2016-01-25," 	17.7	"
2016-01-26," 	18.5	"
2016-01-27," 	10.1	"
2016-01-28," 	7.3	"
2016-01-29," 	11.4	"
2016-01-30," 	6.1	"
2016-01-31," 	7.5	"
2016-02-01," 	10.5	"
2016-02-02," 	6.6	"
2016-02-03," 	8.5	"
2016-02-04," 	6.9	"
2016-02-05," 	13.4	"
2016-02-06," 	17.9	"
2016-02-07," 	22.3	"
2016-02-08," 	12.8	"
2016-02-09," 	7.5	"
2016-02-10," 	11.9	"
2016-02-11," 	10.4	"
2016-02-12," 	25.2	"
2016-02-13," 	50.6	"
2016-02-14," 	50.4	"
2016-02-15," 	42.6	"
2016-02-16," 	18.2	"
2016-02-17," 	21.9	"
2016-02-18," 	34.7	"
2016-02-19," 	58.7	"
2016-02-20," 	23.3	"
2016-02-21," 	7.3	"
2016-02-22," 	5.5	"
2016-02-23," 	7.5	"
2016-02-24," 	9.9	"
2016-02-25," 	17.4	"
2016-02-26," 	21.1	"
2016-02-27," 	26.0	"
2016-02-28," 	45.8	"
2016-02-29," 	26.2	"
2016-03-01," 	25.4	"
2016-03-02," 	31.1	"
2016-03-03," 	24.3	"
2016-03-04," 	41.1	"
2016-03-05," 	51.0	"
2016-03-06," 	45.7	"
2016-03-07," 	32.4	"
2016-03-08," 	44.5	"
2016-03-09," 	37.0	"
2016-03-10," 	25.6	"
2016-03-11," 	15.7	"
2016-03-12," 	12.7	"
2016-03-13," 	17.2	"
2016-03-14," 	32.3	"
2016-03-15," 	11.8	"
2016-03-16," 	35.8	"
2016-03-17," 	44.4	"
2016-03-18," 	22.1	"
2016-03-19," 	19.4	"
2016-03-20," 	15.6	"
2016-03-21," 	11.6	"
2016-03-22," 	13.6	"
2016-03-23," 	28.4	"
2016-03-24," 	26.9	"
2016-03-25," 	42.6	"
2016-03-26," 	15.9	"
2016-03-27," 	20.4	"
2016-03-28," 	11.8	"
2016-03-29," 	8.0	"
2016-03-30," 	12.8	"
2016-03-31," 	13.5	"
2016-04-01," 	17.9	"
2016-04-02," 	15.5	"
2016-04-03," 	23.1	"
2016-04-04," 	38.0	"
2016-04-05," 	34.0	"
2016-04-06," 	14.2	"
2016-04-07," 	11.6	"
2016-04-08," 	13.9	"
2016-04-09," 	15.3	"
2016-04-10," 	11.5	"
2016-04-11," 	10.3	"
2016-04-12," 	27.6	"
2016-04-13," 	35.3	"
2016-04-14," 	19.3	"
2016-04-15," 	21.8	"
2016-04-16," 	10.9	"
2016-04-17," 	8.0	"
2016-04-18," 	8.4	"
2016-04-19," 	7.4	"
2016-04-20," 	8.2	"
2016-04-21," 	11.7	"
2016-04-22," 	10.6	"
2016-04-23," 	10.4	"
2016-04-24," 	6.4	"
2016-04-25," 	10.1	"
2016-04-26," 	10.9	"
2016-04-27," 	3.6	"
2016-04-28," 	8.1	"
2016-04-29," 	11.3	"
2016-04-30," 	16.8	"
2016-05-01," 	13.6	"
2016-05-02," 	13.2	"
2016-05-03," 	12.1	"
2016-05-04," 	6.5	"
2016-05-05," 	9.0	"
2016-05-06," 	22.2	"
2016-05-07," 	20.2	"
2016-05-08," 	22.4	"
2016-05-09," 	21.5	"
2016-05-10," 	40.4	"
2016-05-11," 	23.7	"
2016-05-12," 	25.7	"
2016-05-13," 	14.6	"
2016-05-14," 	16.8	"
2016-05-15," 	9.4	"
2016-05-16," 	10.5	"
2016-05-17," 	6.0	"
2016-05-18," 	10.8	"
2016-05-19," 	21.8	"
2016-05-20," 	23.8	"
2016-05-21," 	13.0	"
2016-05-22," 	28.5	"
2016-05-23," 	30.1	"
2016-05-24," 	29.2	"
2016-05-25," 	17.5	"
2016-05-26," 	20.6	"
2016-05-27," 	15.5	"
2016-05-28," 	19.9	"
2016-05-29," 	20.2	"
2016-05-30," 	19.1	"
2016-05-31," 	17.4	"
2016-06-01," 	9.7	"
2016-06-02," 	14.8	"
2016-06-03," 	20.4	"
2016-06-04," 	19.0	"
2016-06-05," 	12.5	"
2016-06-06," 	9.9	"
2016-06-07," 	14.1	"
2016-06-08," 	20.9	"
2016-06-09," 	8.7	"
2016-06-10," 	18.8	"
2016-06-11," 	6.0	"
2016-06-12," 	10.5	"
2016-06-13," 	14.6	"
2016-06-14," 	11.4	"
2016-06-15," 	11.9	"
2016-06-16," 	11.2	"
2016-06-17," 	7.2	"
2016-06-18," 	10.3	"
2016-06-19," 	8.9	"
2016-06-20," 	9.6	"
2016-06-21," 	9.9	"
2016-06-22," 	18.1	"
2016-06-23," 	26.4	"
2016-06-24," 	31.2	"
2016-06-25," 	27.1	"
2016-06-26," 	10.7	"
2016-06-27," 	15.0	"
2016-06-28," 	9.0	"
2016-06-29," 	8.3	"
2016-06-30," 	10.1	"
2016-07-01," 	11.9	"
2016-07-02," 	9.0	"
2016-07-03," 	7.6	"
2016-07-04," 	8.7	"
2016-07-05," 	10.7	"
2016-07-06," 	5.4	"
2016-07-07," 	6.3	"
2016-07-08," 	12.6	"
2016-07-09," 	6.3	"
2016-07-10," 	12.5	"
2016-07-11," 	19.7	"
2016-07-12," 	14.6	"
2016-07-13," 	14.1	"
2016-07-14," 	4.3	"
2016-07-15," 	4.5	"
2016-07-16," 	6.7	"
2016-07-17," 	7.4	"
2016-07-18," 	5.6	"
2016-07-19," 	6.7	"
2016-07-20," 	10.1	"
2016-07-21," 	15.2	"
2016-07-22," 	11.9	"
2016-07-23," 	16.4	"
2016-07-24," 	19.1	"
2016-07-25," 	23.3	"
2016-07-26," 	20.4	"
2016-07-27," 	9.9	"
2016-07-28," 	13.2	"
2016-07-29," 	15.0	"
2016-07-30," 	11.0	"
2016-07-31," 	10.1	"
2016-08-01," 	7.4	"
2016-08-02," 	11.1	"
2016-08-03," 	8.8	"
2016-08-04," 	8.7	"
2016-08-05," 	8.5	"
2016-08-06," 	6.9	"
2016-08-07," 	6.3	"
2016-08-08," 	13.0	"
2016-08-09," 	13.4	"
2016-08-10," 	5.4	"
2016-08-11," 	6.2	"
2016-08-12," 	9.3	"
2016-08-13," 	12.1	"
2016-08-14," 	6.1	"
2016-08-15," 	6.7	"
2016-08-16," 	7.8	"
2016-08-17," 	7.5	"
2016-08-18," 	8.1	"
2016-08-19," 	15.6	"
2016-08-20," 	17.0	"
