Column1,Column2
Zanieczyszczenie,Szczecin_Andrzejewskiego - py³ zawieszony PM2.5
2015-07-03," 	15.2	"
2015-07-04," 	18.7	"
2015-07-05," 	18.8	"
2015-07-06," 	11.5	"
2015-07-07," 	12.7	"
2015-07-08," 	10.8	"
2015-07-09," 	6.9	"
2015-07-10," 	6.8	"
2015-07-11," 	7.1	"
2015-07-12," 	11.0	"
2015-07-13," 	8.1	"
2015-07-14," 	14.5	"
2015-07-15," 	9.0	"
2015-07-16," 	8.6	"
2015-07-17," 	11.5	"
2015-07-18," 	12.7	"
2015-07-19," 	8.3	"
2015-07-20," 	9.0	"
2015-07-21," 	8.8	"
2015-07-22," 	8.8	"
2015-07-23," 	7.5	"
2015-07-24," 	8.1	"
2015-07-25," 	11.2	"
2015-07-26," 	5.6	"
2015-07-27," 	8.4	"
2015-07-28," 	8.4	"
2015-07-29," 	7.9	"
2015-07-30," 	6.6	"
2015-07-31," 	6.1	"
2015-08-01," 	11.5	"
2015-08-02," 	19.1	"
2015-08-03," 	21.0	"
2015-08-04," 	23.8	"
2015-08-05," 	11.7	"
2015-08-06," 	16.6	"
2015-08-07," 	19.8	"
2015-08-08," 	14.7	"
2015-08-09," 	7.3	"
2015-08-10," 	11.6	"
2015-08-11," 	16.2	"
2015-08-12," 	12.5	"
2015-08-13," 	6.6	"
2015-08-14," 	13.0	"
2015-08-15," 	18.7	"
2015-08-16," 	18.8	"
2015-08-17," 	15.9	"
2015-08-18," 	13.2	"
2015-08-19," 	14.2	"
2015-08-20," 	19.9	"
2015-08-21," 	18.2	"
2015-08-22," 	14.7	"
2015-08-23," 	13.2	"
2015-08-24," 	17.1	"
2015-08-25," 	8.6	"
2015-08-26," 	6.1	"
2015-08-27," 	8.4	"
2015-08-28," 	5.2	"
2015-08-29," 	10.3	"
2015-08-30," 	14.4	"
2015-08-31," 	18.2	"
2015-09-01," 	12.0	"
2015-09-02," 	4.7	"
2015-09-03," 	6.6	"
2015-09-04," 	9.5	"
2015-09-05," 	4.2	"
2015-09-06," 	2.5	"
2015-09-07," 	4.0	"
2015-09-08," 	4.2	"
2015-09-09," 	6.1	"
2015-09-10," 	7.4	"
2015-09-11," 	14.4	"
2015-09-12," 	18.1	"
2015-09-13," 	25.4	"
2015-09-14," 	19.3	"
2015-09-15," 	6.4	"
2015-09-16," 	10.8	"
2015-09-17,
2015-09-18,
2015-09-19,
2015-09-20,
2015-09-21,
2015-09-22,
2015-09-23,
2015-09-24," 	8.4	"
2015-09-25," 	15.0	"
2015-09-26," 	10.6	"
2015-09-27," 	8.4	"
2015-09-28," 	7.3	"
2015-09-29," 	10.1	"
2015-09-30," 	15.0	"
2015-10-01," 	16.9	"
2015-10-02," 	18.8	"
2015-10-03," 	24.3	"
2015-10-04," 	31.8	"
2015-10-05," 	50.2	"
2015-10-06," 	25.5	"
2015-10-07," 	13.4	"
