Column1,Column2
Zanieczyszczenie,Rzeszów-Nowe Miasto - py³ zawieszony PM2.5
2015-08-03," 	21.4	"
2015-08-04," 	21.6	"
2015-08-05," 	16.1	"
2015-08-06," 	18.5	"
2015-08-07," 	21.2	"
2015-08-08," 	19.1	"
2015-08-09," 	22.8	"
2015-08-10," 	27.7	"
2015-08-11," 	28.1	"
2015-08-12," 	27.4	"
2015-08-13," 	24.9	"
2015-08-14," 	19.4	"
2015-08-15," 	27.6	"
2015-08-16," 	23.8	"
2015-08-17," 	20.8	"
2015-08-18,
2015-08-19," 	12.6	"
2015-08-20," 	11.0	"
2015-08-21," 	14.1	"
2015-08-22," 	18.2	"
2015-08-23," 	20.4	"
2015-08-24," 	16.5	"
2015-08-25," 	10.6	"
2015-08-26," 	8.5	"
2015-08-27," 	13.1	"
2015-08-28," 	14.3	"
2015-08-29," 	21.8	"
2015-08-30," 	13.4	"
2015-08-31," 	22.7	"
2015-09-01," 	21.5	"
2015-09-02," 	12.0	"
2015-09-03," 	7.0	"
2015-09-04," 	15.2	"
2015-09-05," 	15.2	"
2015-09-06," 	6.4	"
2015-09-07," 	7.5	"
2015-09-08," 	7.2	"
2015-09-09," 	15.9	"
2015-09-10," 	20.1	"
2015-09-11," 	18.9	"
2015-09-12," 	17.4	"
2015-09-13," 	16.8	"
2015-09-14," 	15.8	"
2015-09-15," 	17.4	"
2015-09-16," 	15.4	"
2015-09-17," 	14.9	"
2015-09-18," 	14.4	"
2015-09-19," 	13.1	"
2015-09-20," 	9.5	"
2015-09-21," 	9.7	"
2015-09-22," 	11.7	"
2015-09-23," 	24.0	"
2015-09-24," 	31.1	"
2015-09-25," 	14.0	"
2015-09-26," 	4.6	"
2015-09-27," 	8.0	"
2015-09-28," 	10.3	"
2015-09-29," 	8.0	"
2015-09-30," 	11.7	"
2015-10-01," 	21.6	"
2015-10-02," 	17.6	"
2015-10-03," 	14.9	"
2015-10-04," 	16.0	"
2015-10-05," 	33.1	"
2015-10-06," 	39.4	"
2015-10-07," 	13.9	"
2015-10-08," 	21.8	"
2015-10-09," 	20.1	"
2015-10-10," 	20.8	"
2015-10-11," 	19.4	"
2015-10-12," 	21.5	"
2015-10-13," 	24.0	"
2015-10-14," 	29.4	"
2015-10-15," 	30.9	"
2015-10-16," 	29.6	"
2015-10-17," 	25.2	"
2015-10-18," 	32.7	"
2015-10-19," 	40.6	"
2015-10-20," 	29.0	"
2015-10-21," 	23.6	"
2015-10-22," 	19.1	"
2015-10-23," 	16.2	"
2015-10-24," 	40.0	"
2015-10-25," 	26.3	"
2015-10-26," 	42.3	"
2015-10-27," 	53.4	"
2015-10-28," 	58.5	"
2015-10-29," 	75.3	"
2015-10-30," 	132.0	"
2015-10-31," 	60.3	"
2015-11-01," 	49.7	"
2015-11-02," 	29.7	"
2015-11-03," 	40.7	"
2015-11-04," 	55.3	"
2015-11-05," 	75.0	"
2015-11-06," 	80.0	"
2015-11-07," 	83.0	"
2015-11-08," 	23.4	"
2015-11-09," 	18.5	"
2015-11-10," 	11.2	"
2015-11-11," 	9.3	"
2015-11-12," 	16.4	"
2015-11-13," 	22.8	"
2015-11-14," 	12.6	"
2015-11-15," 	8.4	"
2015-11-16," 	14.0	"
2015-11-17," 	14.1	"
2015-11-18," 	9.2	"
2015-11-19," 	12.2	"
2015-11-20," 	14.4	"
2015-11-21," 	32.1	"
2015-11-22," 	30.9	"
2015-11-23," 	58.3	"
2015-11-24," 	50.7	"
2015-11-25," 	49.4	"
2015-11-26," 	31.4	"
2015-11-27," 	31.2	"
2015-11-28," 	30.5	"
2015-11-29," 	21.4	"
2015-11-30," 	11.4	"
2015-12-01," 	7.3	"
2015-12-02," 	19.9	"
2015-12-03," 	47.5	"
2015-12-04," 	24.4	"
2015-12-05," 	21.5	"
2015-12-06," 	9.5	"
2015-12-07," 	13.9	"
2015-12-08," 	39.7	"
2015-12-09," 	17.0	"
2015-12-10," 	46.7	"
2015-12-11," 	26.8	"
2015-12-12," 	22.4	"
2015-12-13," 	15.4	"
2015-12-14," 	29.6	"
2015-12-15," 	37.1	"
2015-12-16," 	39.3	"
2015-12-17," 	17.6	"
2015-12-18," 	13.5	"
2015-12-19," 	21.3	"
2015-12-20," 	15.9	"
2015-12-21," 	9.7	"
2015-12-22," 	9.9	"
2015-12-23," 	18.8	"
2015-12-24," 	57.3	"
2015-12-25," 	20.0	"
2015-12-26," 	8.2	"
2015-12-27," 	11.6	"
2015-12-28," 	15.4	"
2015-12-29," 	24.1	"
2015-12-30," 	33.3	"
2015-12-31," 	54.7	"
2016-01-01," 	77.7	"
2016-01-02," 	21.4	"
2016-01-03," 	30.0	"
2016-01-04," 	54.2	"
2016-01-05," 	55.6	"
2016-01-06," 	99.3	"
2016-01-07," 	57.2	"
2016-01-08," 	37.4	"
2016-01-09," 	50.0	"
2016-01-10," 	43.3	"
2016-01-11," 	19.1	"
2016-01-12," 	15.4	"
2016-01-13," 	16.7	"
2016-01-14," 	21.7	"
2016-01-15," 	34.6	"
2016-01-16," 	30.4	"
2016-01-17," 	67.8	"
2016-01-18," 	72.2	"
2016-01-19," 	62.4	"
2016-01-20," 	33.3	"
2016-01-21," 	33.9	"
2016-01-22," 	49.3	"
2016-01-23," 	66.0	"
2016-01-24," 	53.2	"
2016-01-25," 	35.1	"
2016-01-26," 	34.3	"
2016-01-27," 	24.1	"
2016-01-28," 	15.5	"
2016-01-29," 	31.6	"
2016-01-30," 	17.1	"
2016-01-31," 	14.4	"
2016-02-01," 	14.9	"
2016-02-02," 	11.2	"
2016-02-03," 	14.6	"
2016-02-04," 	16.1	"
2016-02-05," 	22.6	"
2016-02-06," 	21.7	"
2016-02-07," 	12.3	"
2016-02-08," 	15.8	"
2016-02-09," 	15.4	"
2016-02-10," 	10.6	"
2016-02-11," 	14.1	"
2016-02-12," 	13.8	"
2016-02-13," 	27.2	"
2016-02-14," 	20.0	"
2016-02-15," 	22.2	"
2016-02-16," 	25.5	"
2016-02-17," 	12.0	"
2016-02-18," 	31.0	"
2016-02-19," 	31.6	"
2016-02-20," 	27.3	"
2016-02-21," 	12.1	"
2016-02-22," 	10.8	"
2016-02-23," 	12.8	"
2016-02-24," 	24.3	"
2016-02-25," 	20.9	"
2016-02-26," 	52.1	"
2016-02-27," 	52.2	"
2016-02-28," 	30.1	"
2016-02-29," 	55.8	"
2016-03-01,
2016-03-02,
2016-03-03,
2016-03-04,
2016-03-05,
2016-03-06,
2016-03-07,
2016-03-08," 	35.9	"
2016-03-09," 	49.5	"
2016-03-10," 	19.4	"
2016-03-11," 	32.9	"
2016-03-12," 	26.8	"
2016-03-13," 	15.2	"
2016-03-14," 	23.6	"
2016-03-15," 	21.6	"
2016-03-16," 	41.1	"
2016-03-17," 	54.9	"
2016-03-18," 	41.7	"
2016-03-19," 	12.8	"
2016-03-20," 	32.2	"
2016-03-21," 	31.6	"
2016-03-22," 	18.1	"
2016-03-23," 	27.7	"
2016-03-24," 	34.6	"
2016-03-25," 	53.0	"
2016-03-26," 	35.3	"
2016-03-27," 	40.4	"
2016-03-28," 	21.5	"
2016-03-29," 	19.1	"
2016-03-30," 	20.5	"
2016-03-31," 	29.1	"
2016-04-01," 	15.6	"
2016-04-02," 	22.0	"
2016-04-03," 	28.9	"
2016-04-04," 	23.8	"
2016-04-05," 	29.5	"
2016-04-06," 	21.0	"
2016-04-07," 	22.2	"
2016-04-08," 	29.9	"
2016-04-09," 	15.9	"
2016-04-10," 	19.7	"
2016-04-11," 	23.5	"
2016-04-12," 	40.1	"
2016-04-13," 	29.9	"
2016-04-14," 	29.1	"
2016-04-15," 	21.6	"
2016-04-16," 	13.0	"
2016-04-17," 	14.1	"
2016-04-18," 	18.1	"
2016-04-19," 	17.7	"
2016-04-20," 	9.9	"
2016-04-21," 	18.3	"
2016-04-22," 	19.7	"
2016-04-23," 	26.5	"
2016-04-24," 	19.3	"
2016-04-25," 	13.4	"
2016-04-26," 	15.3	"
2016-04-27," 	10.0	"
2016-04-28," 	8.4	"
2016-04-29," 	12.9	"
2016-04-30," 	16.9	"
2016-05-01," 	15.9	"
2016-05-02," 	12.7	"
2016-05-03," 	16.6	"
2016-05-04," 	18.6	"
2016-05-05," 	15.9	"
2016-05-06," 	14.3	"
2016-05-07," 	11.2	"
2016-05-08," 	10.1	"
2016-05-09," 	12.1	"
2016-05-10," 	11.9	"
2016-05-11," 	16.8	"
2016-05-12," 	13.1	"
2016-05-13," 	11.0	"
2016-05-14," 	7.9	"
2016-05-15," 	10.3	"
2016-05-16," 	10.7	"
2016-05-17," 	9.9	"
2016-05-18," 	9.2	"
2016-05-19," 	14.0	"
2016-05-20," 	18.7	"
2016-05-21," 	22.3	"
2016-05-22," 	16.6	"
2016-05-23," 	17.5	"
2016-05-24," 	12.2	"
2016-05-25," 	13.5	"
2016-05-26," 	15.0	"
2016-05-27," 	13.2	"
2016-05-28," 	17.0	"
2016-05-29," 	14.6	"
2016-05-30," 	12.4	"
2016-05-31," 	13.3	"
2016-06-01," 	8.6	"
2016-06-02," 	9.6	"
2016-06-03," 	12.0	"
2016-06-04," 	19.7	"
2016-06-05," 	14.1	"
2016-06-06," 	7.9	"
2016-06-07," 	9.6	"
2016-06-08," 	11.6	"
2016-06-09," 	13.6	"
2016-06-10," 	12.0	"
