Column1,Column2
Zanieczyszczenie,Warszawa-Targówek - py³ zawieszony PM2.5
2015-07-03," 	13.2	"
2015-07-04," 	20.0	"
2015-07-05," 	25.8	"
2015-07-06," 	21.8	"
2015-07-07," 	24.8	"
2015-07-08," 	14.3	"
2015-07-09," 	8.2	"
2015-07-10," 	6.7	"
2015-07-11," 	7.1	"
2015-07-12," 	8.2	"
2015-07-13," 	11.4	"
2015-07-14," 	12.5	"
2015-07-15," 	12.0	"
2015-07-16," 	11.6	"
2015-07-17," 	17.1	"
2015-07-18," 	17.6	"
2015-07-19," 	16.3	"
2015-07-20," 	11.1	"
2015-07-21," 	15.2	"
2015-07-22," 	14.0	"
2015-07-23," 	15.4	"
2015-07-24," 	11.8	"
2015-07-25," 	13.8	"
2015-07-26," 	8.9	"
2015-07-27," 	12.0	"
2015-07-28," 	8.4	"
2015-07-29," 	10.7	"
2015-07-30," 	8.2	"
2015-07-31," 	9.1	"
2015-08-01," 	11.8	"
2015-08-02," 	14.5	"
2015-08-03," 	18.4	"
2015-08-04," 	20.9	"
2015-08-05," 	24.1	"
2015-08-06," 	25.6	"
2015-08-07," 	26.9	"
2015-08-08," 	26.7	"
2015-08-09," 	20.5	"
2015-08-10," 	12.0	"
2015-08-11," 	19.8	"
2015-08-12," 	23.6	"
2015-08-13," 	11.8	"
2015-08-14," 	18.2	"
2015-08-15," 	18.7	"
2015-08-16," 	13.4	"
2015-08-17," 	12.2	"
2015-08-18," 	15.8	"
2015-08-19," 	15.2	"
2015-08-20," 	12.9	"
2015-08-21," 	16.0	"
2015-08-22," 	20.5	"
2015-08-23," 	18.3	"
2015-08-24," 	20.9	"
2015-08-25," 	15.2	"
2015-08-26," 	11.1	"
2015-08-27," 	18.3	"
2015-08-28," 	18.9	"
2015-08-29," 	12.9	"
2015-08-30," 	19.2	"
2015-08-31," 	20.0	"
2015-09-01," 	28.5	"
2015-09-02," 	14.9	"
2015-09-03," 	19.6	"
2015-09-04," 	14.2	"
2015-09-05," 	13.4	"
2015-09-06," 	6.4	"
2015-09-07,
2015-09-08,
2015-09-09,
2015-09-10,
2015-09-11,
2015-09-12,
2015-09-13,
2015-09-14,
2015-09-15," 	15.1	"
2015-09-16," 	19.4	"
2015-09-17," 	22.9	"
2015-09-18," 	12.0	"
2015-09-19," 	20.1	"
2015-09-20," 	22.5	"
2015-09-21," 	10.2	"
2015-09-22," 	17.1	"
2015-09-23," 	22.1	"
2015-09-24," 	30.3	"
2015-09-25," 	15.2	"
2015-09-26," 	7.8	"
2015-09-27," 	7.8	"
2015-09-28," 	9.4	"
2015-09-29," 	9.4	"
2015-09-30," 	18.0	"
2015-10-01," 	31.9	"
2015-10-02," 	22.7	"
2015-10-03," 	38.1	"
2015-10-04," 	29.4	"
2015-10-05," 	38.8	"
2015-10-06," 	32.8	"
2015-10-07," 	10.2	"
2015-10-08," 	13.8	"
2015-10-09," 	26.5	"
2015-10-10," 	51.2	"
2015-10-11," 	28.7	"
2015-10-12," 	11.4	"
2015-10-13," 	30.5	"
2015-10-14," 	36.3	"
2015-10-15," 	38.6	"
2015-10-16," 	40.6	"
2015-10-17," 	33.0	"
2015-10-18," 	19.2	"
2015-10-19," 	30.8	"
2015-10-20," 	43.2	"
2015-10-21," 	27.8	"
2015-10-22," 	15.4	"
2015-10-23," 	12.0	"
2015-10-24," 	17.6	"
2015-10-25," 	39.0	"
2015-10-26," 	10.9	"
2015-10-27," 	71.7	"
2015-10-28," 	38.8	"
2015-10-29," 	32.1	"
2015-10-30," 	62.0	"
2015-10-31," 	45.4	"
2015-11-01," 	43.7	"
2015-11-02," 	33.0	"
