Column1,Column2
Zanieczyszczenie,Wroc³aw - Na Grobli - py³ zawieszony PM2.5
2015-07-11," 	8.7	"
2015-07-12," 	15.0	"
2015-07-13," 	9.2	"
2015-07-14," 	8.3	"
2015-07-15," 	11.3	"
2015-07-16," 	13.9	"
2015-07-17," 	21.3	"
2015-07-18," 	18.8	"
2015-07-19," 	17.7	"
2015-07-20," 	14.6	"
2015-07-21," 	15.4	"
2015-07-22," 	16.6	"
2015-07-23," 	15.0	"
2015-07-24," 	16.5	"
2015-07-25," 	17.7	"
2015-07-26," 	6.5	"
2015-07-27," 	8.2	"
2015-07-28," 	7.5	"
2015-07-29," 	11.0	"
2015-07-30," 	13.9	"
2015-07-31," 	13.5	"
2015-08-01," 	14.8	"
2015-08-02," 	17.5	"
2015-08-03," 	21.4	"
2015-08-04," 	26.2	"
2015-08-05," 	18.7	"
2015-08-06," 	17.9	"
2015-08-07," 	27.1	"
2015-08-08," 	25.8	"
2015-08-09," 	20.0	"
2015-08-10," 	26.1	"
2015-08-11," 	27.4	"
2015-08-12," 	32.5	"
2015-08-13," 	20.4	"
2015-08-14," 	21.2	"
2015-08-15,
2015-08-16,
2015-08-17,
2015-08-18,
2015-08-19,
2015-08-20,
2015-08-21," 	15.1	"
2015-08-22," 	18.4	"
2015-08-23," 	15.5	"
2015-08-24," 	16.2	"
2015-08-25," 	8.6	"
2015-08-26," 	10.0	"
2015-08-27," 	12.0	"
2015-08-28," 	18.5	"
2015-08-29," 	9.3	"
2015-08-30," 	16.2	"
2015-08-31," 	21.8	"
2015-09-01," 	30.4	"
2015-09-02," 	10.1	"
2015-09-03,
2015-09-04,
2015-09-05,
2015-09-06,
2015-09-07,
2015-09-08," 	5.8	"
2015-09-09," 	8.9	"
2015-09-10," 	10.8	"
2015-09-11," 	18.0	"
2015-09-12," 	18.1	"
2015-09-13," 	13.1	"
2015-09-14," 	17.1	"
2015-09-15," 	11.7	"
2015-09-16," 	18.1	"
2015-09-17," 	20.7	"
2015-09-18," 	8.4	"
2015-09-19," 	15.4	"
2015-09-20," 	7.7	"
2015-09-21,
2015-09-22," 	13.3	"
2015-09-23," 	13.0	"
2015-09-24,
2015-09-25,
2015-09-26,
2015-09-27,
2015-09-28,
2015-09-29,
2015-09-30,
2015-10-01," 	32.6	"
2015-10-02,
2015-10-03,
2015-10-04,
2015-10-05,
2015-10-06,
2015-10-07,
2015-10-08,
2015-10-09," 	34.5	"
2015-10-10," 	19.8	"
2015-10-11," 	19.8	"
2015-10-12," 	22.5	"
2015-10-13," 	29.1	"
2015-10-14," 	42.9	"
2015-10-15," 	32.8	"
2015-10-16," 	24.7	"
2015-10-17," 	17.3	"
2015-10-18," 	29.6	"
2015-10-19," 	34.2	"
2015-10-20," 	27.5	"
2015-10-21," 	19.4	"
2015-10-22," 	22.0	"
2015-10-23," 	12.3	"
2015-10-24," 	20.4	"
2015-10-25," 	28.0	"
2015-10-26," 	21.9	"
2015-10-27,
2015-10-28,
2015-10-29,
2015-10-30,
2015-10-31,
2015-11-01,
2015-11-02,
2015-11-03," 	81.1	"
2015-11-04," 	128.0	"
2015-11-05," 	142.4	"
2015-11-06," 	97.9	"
2015-11-07," 	69.4	"
2015-11-08," 	14.8	"
2015-11-09," 	20.1	"
2015-11-10," 	7.4	"
2015-11-11," 	10.5	"
2015-11-12," 	16.9	"
2015-11-13," 	25.0	"
2015-11-14," 	7.7	"
2015-11-15," 	4.7	"
2015-11-16," 	15.1	"
2015-11-17," 	14.9	"
2015-11-18," 	7.0	"
2015-11-19," 	7.0	"
2015-11-20," 	10.7	"
2015-11-21," 	20.6	"
2015-11-22," 	24.7	"
2015-11-23," 	32.0	"
2015-11-24," 	26.3	"
2015-11-25," 	31.0	"
2015-11-26," 	47.9	"
2015-11-27," 	66.5	"
2015-11-28," 	49.9	"
2015-11-29," 	10.4	"
2015-11-30," 	8.0	"
2015-12-01," 	7.3	"
2015-12-02," 	14.9	"
2015-12-03," 	32.7	"
2015-12-04," 	23.6	"
2015-12-05," 	22.1	"
2015-12-06," 	12.1	"
2015-12-07," 	27.3	"
2015-12-08," 	36.2	"
2015-12-09," 	18.4	"
2015-12-10," 	28.2	"
2015-12-11,
2015-12-12,
2015-12-13,
2015-12-14,
2015-12-15," 	49.5	"
2015-12-16," 	48.6	"
2015-12-17," 	24.9	"
2015-12-18," 	19.9	"
2015-12-19," 	27.9	"
2015-12-20," 	24.8	"
2015-12-21," 	17.5	"
2015-12-22," 	9.3	"
2015-12-23," 	12.6	"
2015-12-24," 	29.1	"
2015-12-25," 	18.3	"
2015-12-26," 	11.1	"
2015-12-27," 	16.8	"
2015-12-28," 	19.7	"
2015-12-29," 	18.0	"
2015-12-30," 	24.3	"
2015-12-31,
2016-01-01,
2016-01-02,
2016-01-03,
2016-01-04,
2016-01-05," 	80.4	"
2016-01-06," 	107.4	"
2016-01-07," 	97.7	"
2016-01-08," 	37.2	"
2016-01-09," 	48.4	"
2016-01-10," 	84.9	"
2016-01-11," 	49.2	"
2016-01-12," 	32.6	"
2016-01-13," 	13.5	"
2016-01-14," 	26.9	"
2016-01-15," 	48.1	"
2016-01-16," 	28.0	"
2016-01-17," 	38.7	"
2016-01-18," 	49.8	"
2016-01-19," 	86.9	"
2016-01-20," 	54.4	"
2016-01-21," 	20.1	"
2016-01-22," 	47.8	"
2016-01-23," 	50.7	"
2016-01-24," 	37.4	"
2016-01-25," 	30.4	"
2016-01-26," 	28.1	"
2016-01-27," 	19.1	"
2016-01-28," 	13.1	"
2016-01-29," 	23.4	"
2016-01-30," 	10.2	"
2016-01-31," 	8.0	"
2016-02-01," 	15.4	"
2016-02-02," 	8.2	"
2016-02-03," 	10.1	"
2016-02-04," 	10.7	"
2016-02-05," 	17.8	"
2016-02-06," 	20.1	"
2016-02-07," 	19.2	"
2016-02-08," 	11.9	"
2016-02-09," 	8.1	"
2016-02-10," 	11.8	"
2016-02-11," 	11.2	"
2016-02-12," 	22.3	"
2016-02-13," 	52.6	"
2016-02-14," 	32.6	"
2016-02-15," 	33.5	"
2016-02-16," 	22.4	"
2016-02-17," 	33.6	"
2016-02-18," 	39.4	"
2016-02-19," 	33.8	"
2016-02-20," 	24.4	"
2016-02-21," 	8.7	"
2016-02-22," 	7.7	"
2016-02-23," 	12.5	"
2016-02-24," 	14.4	"
2016-02-25," 	27.4	"
2016-02-26," 	23.2	"
2016-02-27," 	42.8	"
2016-02-28," 	47.9	"
2016-02-29," 	35.2	"
2016-03-01," 	23.8	"
2016-03-02," 	29.6	"
2016-03-03," 	28.0	"
2016-03-04," 	37.1	"
2016-03-05," 	47.6	"
2016-03-06," 	26.7	"
2016-03-07," 	21.2	"
2016-03-08," 	28.6	"
2016-03-09," 	26.5	"
2016-03-10," 	32.6	"
2016-03-11," 	31.5	"
2016-03-12," 	28.0	"
2016-03-13," 	30.7	"
2016-03-14," 	36.2	"
